,MD_EARN_WNE_P10,MD_EARN_WNE_P8,MD_EARN_WNE_P6,INSTNM,population_2019,GRAD_DEBT_MDN,FIRST_GEN,MARRIED,ADM_RATE,SAT_AVG,POVERTY_RATE,Geographic Area,Geographic Area,LN_MEDIAN_HH_INC,COSTT4_A,UGDS_WHITE,MEDIAN_HH_INC,MD_EARN_WNE_P8,MD_EARN_WNE_P10
451,30900,28500,25600,State College of Florida-Manatee-Sarasota,"59,439",10413,0.458427602,0.110062893,,,7.190000057,"bradenton , florida","bradenton , florida",10.88000011,17404.0,0.6072,54747.67,28500,30900
455,31100,29200,25700,Miami Dade College,"467,963",9500,0.485895404,0.076789732,,,15.71000004,"miami , florida","miami , florida",10.75,12378.0,0.054,49446.55,29200,31100
456,60100,53900,47500,University of Miami,"49,700",17125,0.200959233,0.02631579,0.3215,1365.0,7.820000172,"coral gables , florida","coral gables , florida",11.10999966,65298.0,0.4214,71124,53900,60100
460,43200,40100,35800,University of North Florida,"911,507",16341,0.31708351,0.082032022,0.6108,1195.0,7.119999886,"jacksonville , florida","jacksonville , florida",11.01000023,19691.0,0.6548,62628.24,40100,43200
461,45300,45000,42300,Nova Southeastern University,"182,437",23750,0.373340143,0.108378871,0.7854,1196.0,9.199999809,"fort lauderdale , florida","fort lauderdale , florida",11,47432.0,0.2848,62876.89,45000,45300
463,40600,38600,34700,Palm Beach Atlantic University,"111,955",22250,0.220037453,0.062937063,0.9529,1126.0,8.399999619,"west palm beach , florida","west palm beach , florida",11.01000023,45037.0,0.6308,64221.06,38600,40600
464,28200,26100,23600,Pensacola State College,"52,975",6200,0.49358426,0.182300885,,,11.21000004,"pensacola , florida","pensacola , florida",10.81000042,9495.0,0.6237,50380.73,26100,28200
469,32900,30600,28000,St Petersburg College,"116,946",17691,0.444263959,0.143031147,,,8.149999619,"clearwater , florida","clearwater , florida",10.81000042,11250.0,0.6008,50755.94,30600,32900
470,34600,31600,26900,Santa Fe College,"133,997",11972,0.418434659,0.075791139,,,11.35999966,"gainesville , florida","gainesville , florida",10.76000023,14258.0,0.5477,50017.68,31600,34600
472,31800,31000,27900,Seminole State College of Florida,"61,448",11000,0.40665874,0.107316449,,,7.300000191,"sanford , florida","sanford , florida",11,13060.0,0.4459,61419.87,31000,31800
475,43500,40100,36800,University of South Florida-Main Campus,"399,700",18750,0.357541899,0.071628542,0.4263,1265.0,7.980000019,"tampa , florida","tampa , florida",10.93999958,20456.0,0.4709,58397.57,40100,43500
476,49400,41100,37400,St. Thomas University,"110,001",21761,0.412735849,0.089108911,0.515,1031.0,12.75,"miami gardens , florida","miami gardens , florida",10.89000034,41512.0,0.071,56846.82,41100,49400
477,34800,33100,30000,Southeastern University,"112,136",22223,0.345852249,0.105086014,0.4807,1069.0,7.590000153,"lakeland , florida","lakeland , florida",10.96000004,35800.0,0.5862,60101.07,33100,34800
478,30700,28000,24500,Tallahassee Community College,"194,500",10334,0.418665179,0.045476458,,,13.15999985,"tallahassee , florida","tallahassee , florida",10.76000023,8501.0,0.4747,51023.41,28000,30700
480,26100,22000,18200,Altierus Career College-Tampa,"399,700",9500,0.605837739,0.200762829,,,10.23999977,"tampa , florida","tampa , florida",10.86999989,26136.0,0.2928,54642.52,22000,26100
481,48600,43400,39100,The University of Tampa,"399,700",24250,0.25237627,0.015293383,0.4869,1182.0,6.199999809,"tampa , florida","tampa , florida",11.11999989,43178.0,0.6184,71934.52,43400,48600
482,33600,28300,22900,Trinity Baptist College,"911,507",23250,0.340611354,0.077220077,0.6962,945.0,8.159999847,"jacksonville , florida","jacksonville , florida",10.93999958,21721.0,0.5652,58249.91,28300,33600
484,32600,29700,26100,Valencia College,"287,442",9208,0.421458585,0.080510555,,,8.819999695,"orlando , florida","orlando , florida",10.94999981,10688.0,0.2566,58543.84,29700,32600
485,32600,30600,27500,Rasmussen College-Florida,"60,786",19461,0.475742783,0.283103624,,,9.159999847,"ocala , florida","ocala , florida",10.68000031,23123.0,0.4744,44316.23,30600,32600
486,38900,34400,31500,The University of West Florida,"52,975",17250,0.361001318,0.163986355,0.4242,1189.0,9.279999733,"pensacola , florida","pensacola , florida",10.88000011,16595.0,0.6515,54753.42,34400,38900
487,21700,21400,19300,Albany Technical College,"72,130",11322,0.463942308,0.131109023,,,19.90999985,"albany , georgia","albany , georgia",10.60999966,8153.0,0.2038,42438.33,21400,21700
488,32200,30200,24500,Albany State University,"72,130",27000,0.335168617,0.077391834,0.905,865.0,14.09000015,"albany , georgia","albany , georgia",10.81000042,18775.0,0.1408,52181.09,30200,32200
489,30900,27700,23700,The Art Institute of Atlanta,"506,811",31000,0.368266406,0.103389831,,,7.519999981,"atlanta , georgia","atlanta , georgia",11.14000034,28731.0,0.1059,72782.11,27700,30900
490,22000,20400,19000,Atlanta Technical College,"506,811",15495,0.484984985,0.097339959,,,16.92000008,"atlanta , georgia","atlanta , georgia",10.77000046,9078.0,0.0265,50134.52,20400,22000
491,28000,24400,21500,Atlanta Metropolitan State College,"506,811",12750,0.394809498,0.050462963,,,14.61999989,"atlanta , georgia","atlanta , georgia",10.82999992,10146.0,0.0171,53064.92,24400,28000
495,29100,24100,24500,Beulah Heights University,"506,811",45881,0.457364341,0.350282486,,,9.909999847,"atlanta , georgia","atlanta , georgia",11.01000023,14464.0,0.0147,63599.65,24100,29100
497,25800,25200,22400,Columbus Technical College,"195,769",8339,0.416523236,0.196193265,,,13.34000015,"columbus , georgia","columbus , georgia",10.75,12560.0,0.3998,48355.68,25200,25800
498,35900,33200,28600,Columbus State University,"195,769",25992,0.329517863,0.12295082,0.5639,1019.0,10.71000004,"columbus , georgia","columbus , georgia",10.88000011,18666.0,0.485,55979.92,33200,35900
499,33400,34200,26900,South University-Savannah,"144,464",25166,0.472288337,0.236707784,,,10.69999981,"savannah , georgia","savannah , georgia",10.88000011,28451.0,0.4448,55764.27,34200,33400
500,66000,59200,57500,Emory University,"506,811",16500,0.163870246,0.021773765,0.1852,1449.0,6.059999943,"atlanta , georgia","atlanta , georgia",11.22999954,66950.0,0.396,80509.92,59200,66000
502,79100,69900,65500,Georgia Institute of Technology-Main Campus,"506,811",23000,0.149151318,0.019498607,0.2153,1465.0,6.269999981,"atlanta , georgia","atlanta , georgia",11.19999981,28501.0,0.4804,77933.64,69900,79100
503,43300,39400,35200,Georgia State University,"506,811",21665,0.323238139,0.066292192,0.7137,1160.0,7.78000021,"atlanta , georgia","atlanta , georgia",11.13000011,23951.0,0.2272,72190.32,39400,43300
505,35600,37100,30700,Life University,"60,867",13667,0.292110874,0.106090373,0.9363,979.0,7.699999809,"marietta , georgia","marietta , georgia",11.06000042,35561.0,0.375,67303.03,37100,35600
507,37800,31600,27900,Herzing University-Atlanta,"506,811",22730,0.520903265,0.231272819,0.9556,,11.31999969,"atlanta , georgia","atlanta , georgia",10.92000008,29195.0,0.1023,57868.59,31600,37800
510,42100,37600,32100,Oglethorpe University,"506,811",27000,0.199240987,0.02292769,0.6164,1202.0,7.289999962,"atlanta , georgia","atlanta , georgia",11.14999962,51507.0,0.4061,73815.08,37600,42100
512,25300,23200,21400,Savannah Technical College,"144,464",6544,0.44198363,0.237158909,,,13.52000046,"savannah , georgia","savannah , georgia",10.77000046,12717.0,0.3603,49130.18,23200,25300
513,36400,33100,29400,Savannah College of Art and Design,"144,464",25166,0.176304211,0.027703307,0.7027,1157.0,7.019999981,"savannah , georgia","savannah , georgia",11.10999966,55793.0,0.5441,71588.69,33100,36400
514,31300,27500,23600,Savannah State University,"144,464",31000,0.327964861,0.021668823,0.2918,1251.0,12.56999969,"savannah , georgia","savannah , georgia",10.85000038,16488.0,0.0355,54220.88,27500,31300
518,38700,34500,31500,Valdosta State University,"56,457",25000,0.307543051,0.079499777,0.626,1076.0,10.73999977,"valdosta , georgia","valdosta , georgia",10.89999962,20699.0,0.4623,57353.47,34500,38700
519,26200,26800,25800,College of Eastern Idaho,"62,888",11999,0.409547739,0.320712695,,,8.460000038,"idaho falls , idaho","idaho falls , idaho",10.88000011,15762.0,0.7834,53842.04,26800,26200
520,35700,33100,30700,Idaho State University,"56,637",22600,0.360585723,0.17176209,,,8.970000267,"pocatello , idaho","pocatello , idaho",10.85000038,19858.0,0.719,52463.75,33100,35700
523,31000,28400,25600,North Idaho College,"52,414",9000,0.417150514,0.173354735,,,8.949999809,"coeur d'alene , idaho","coeur d'alene , idaho",10.81000042,12224.0,0.8039,50107.84,28400,31000
524,39600,37000,30800,Northwest Nazarene University,"99,277",24188,0.338842975,0.18027735,0.7094,1148.0,7.389999866,"nampa , idaho","nampa , idaho",10.97000027,38842.0,0.7823,59470.41,37000,39600
525,29300,27800,26100,College of Southern Idaho,"50,197",9947,0.415902141,0.155797101,,,9.789999962,"twin falls , idaho","twin falls , idaho",10.77000046,11806.0,0.6176,48219.28,27800,29300
529,33500,31300,26200,School of the Art Institute of Chicago,"2,693,976",26000,0.212636695,0.019517796,0.5855,1226.0,7.400000095,"chicago , illinois","chicago , illinois",11.13000011,63848.0,0.3415,72806.39,31300,33500
530,42700,40500,37600,Aurora University,"197,757",21500,0.456946646,0.092584063,0.8116,1068.0,5.079999924,"aurora , illinois","aurora , illinois",11.22000027,34650.0,0.483,77796.79,40500,42700
531,53600,46900,42900,Bradley University,"110,417",27000,0.236043689,0.006896552,0.6681,1212.0,5.179999828,"peoria , illinois","peoria , illinois",11.15999985,46304.0,0.7273,74072.54,46900,53600
536,33800,30800,29400,Chicago State University,"2,693,976",32000,0.420245399,0.075604053,0.3276,972.0,17.21999931,"chicago , illinois","chicago , illinois",10.80000019,20357.0,0.0336,51518.57,30800,33800
539,23500,21900,18000,City Colleges of Chicago-Kennedy-King College,"2,693,976",6124,0.498448169,0.049445865,,,22.37000084,"chicago , illinois","chicago , illinois",10.64000034,10758.0,0.0336,43966.34,21900,23500
540,25100,23100,19700,City Colleges of Chicago-Malcolm X College,"2,693,976",7837,0.563090834,0.069726903,,,23.62000084,"chicago , illinois","chicago , illinois",10.64000034,9333.0,0.0687,43218.08,23100,25100
541,22800,21500,18800,City Colleges of Chicago-Olive-Harvey College,"2,693,976",6245,0.469387755,0.054245283,,,18.19000053,"chicago , illinois","chicago , illinois",10.77000046,10589.0,0.0141,49031.24,21500,22800
542,28100,24900,20400,City Colleges of Chicago-Harry S Truman College,"2,693,976",6922,0.509777478,0.108930324,,,16.17000008,"chicago , illinois","chicago , illinois",10.82999992,9588.0,0.1685,51913.85,24900,28100
543,28000,27000,24500,City Colleges of Chicago-Richard J Daley College,"2,693,976",4500,0.6125,0.06002331,,,17.11000061,"chicago , illinois","chicago , illinois",10.81000042,8745.0,0.1431,51072.84,27000,28000
544,26100,24300,21500,City Colleges of Chicago-Harold Washington College,"2,693,976",4500,0.548686654,0.031877898,,,20.86000061,"chicago , illinois","chicago , illinois",10.69999981,9036.0,0.0936,46324.9,24300,26100
545,32800,31200,24800,City Colleges of Chicago-Wilbur Wright College,"2,693,976",5250,0.573033708,0.076681333,,,13.64999962,"chicago , illinois","chicago , illinois",10.89999962,8621.0,0.2015,55296.81,31200,32800
546,34400,32000,26900,Columbia College Chicago,"2,693,976",25000,0.249486352,0.011837503,0.8675,,7.53000021,"chicago , illinois","chicago , illinois",11.13000011,42413.0,0.5323,72555.55,32000,34400
548,53300,47200,42100,DePaul University,"2,693,976",24144,0.302351416,0.035393734,0.6753,,7.139999866,"chicago , illinois","chicago , illinois",11.18999958,54439.0,0.5244,76598.6,47200,53300
549,25700,22500,18700,East-West University,"2,693,976",26785,0.539393939,0.036697248,,,20.30999947,"chicago , illinois","chicago , illinois",10.72000027,28640.0,0.0279,47283.1,22500,25700
550,32300,31200,29600,Elgin Community College,"110,849",7000,0.521579431,0.084210526,,,4.519999981,"elgin , illinois","elgin , illinois",11.32999992,9110.0,0.4244,84188.87,31200,32300
552,54300,47900,39600,University of Illinois at Chicago,"2,693,976",17500,0.443977997,0.025081108,0.7555,1145.0,8.109999657,"chicago , illinois","chicago , illinois",11.13000011,25260.0,0.2832,71955.13,47900,54300
554,61500,53600,47100,University of Illinois at Urbana-Champaign,"88,909",19000,0.2493021,0.006013843,0.6216,1338.0,5.599999905,"champaign , illinois","champaign , illinois",11.18999958,30082.0,0.4422,77278.04,53600,61500
556,69100,63300,55800,Illinois Institute of Technology,"2,693,976",25000,0.322376738,0.039637599,0.5818,1318.0,6.590000153,"chicago , illinois","chicago , illinois",11.15999985,60112.0,0.3635,74075.49,63300,69100
559,31200,29500,25800,Joliet Junior College,"147,344",9048,0.468406162,0.073428421,,,5.159999847,"joliet , illinois","joliet , illinois",11.21000004,8374.0,0.5452,76243.04,29500,31200
560,42800,38900,35700,Judson University,"110,849",25000,0.356275304,0.160427808,0.7101,1086.0,5,"elgin , illinois","elgin , illinois",11.19999981,40849.0,0.4775,75944.27,38900,42800
561,29600,26800,23700,Lincoln Land Community College,"114,230",10500,0.466479137,0.114688129,,,7.949999809,"springfield , illinois","springfield , illinois",10.88000011,10752.0,0.729,54411.49,26800,29600
562,54100,48700,42700,Loyola University Chicago,"2,693,976",24949,0.27686747,0.023385301,0.6792,1261.0,6.300000191,"chicago , illinois","chicago , illinois",11.18999958,57297.0,0.5479,76055.22,48700,54100
565,29700,29400,24000,MacCormac College,"2,693,976",23500,0.564102564,0.064814815,,,13.93999958,"chicago , illinois","chicago , illinois",10.89999962,19680.0,0.1593,56799.54,29400,29700
569,25600,28500,27900,Midstate College,"110,417",38361,0.497652582,0.218518519,0.5,,10.40999985,"peoria , illinois","peoria , illinois",10.85999966,26096.0,0.6652,54192.72,28500,25600
570,42900,38600,33400,Millikin University,"70,746",27000,0.318478261,0.047426842,0.6126,1125.0,6.769999981,"decatur , illinois","decatur , illinois",11.02000046,46026.0,0.6867,63904.96,38600,42900
573,44600,42000,38200,National Louis University,"2,693,976",20138,0.504448399,0.200138504,0.8583,,10.82999992,"chicago , illinois","chicago , illinois",11.03999996,22927.0,0.2128,67361.96,42000,44600
574,47800,43300,37700,North Central College,"148,449",25000,0.265966047,0.014393939,0.5568,1083.0,3.579999924,"naperville , illinois","naperville , illinois",11.32999992,49461.0,0.6467,86906.76,43300,47800
575,43700,40200,37400,North Park University,"2,693,976",25375,0.369832402,0.051231527,0.4658,1080.0,7.869999886,"chicago , illinois","chicago , illinois",11.10999966,36759.0,0.3884,70754.04,40200,43700
576,69000,63700,58900,Northwestern University,"73,473",15500,0.151571165,0.01543943,0.0847,1508.0,6,"evanston , illinois","evanston , illinois",11.25,72960.0,0.4546,81811.63,63700,69000
577,37900,36000,32700,Northeastern Illinois University,"2,693,976",14662,0.508688784,0.071361502,0.5563,995.0,11.56000042,"chicago , illinois","chicago , illinois",10.98999977,25281.0,0.2786,61978.62,36000,37900
578,38500,34200,28500,Oakton Community College,"58,899",6400,0.433506045,0.105537151,,,5.300000191,"des plaines , illinois","des plaines , illinois",11.22000027,11763.0,0.4592,77067.04,34200,38500
579,30900,28400,25400,Parkland College,"88,909",8250,0.39146165,0.07808,,,7.789999962,"champaign , illinois","champaign , illinois",10.89000034,12994.0,0.5746,56258.8,28400,30900
581,27400,24900,25200,Richland Community College,"70,746",7183,0.490740741,0.134858044,,,9.210000038,"decatur , illinois","decatur , illinois",10.85000038,9840.0,0.7405,52279.31,24900,27400
582,32300,32000,30200,Robert Morris University Illinois,"2,693,976",24500,0.430879713,0.047972305,0.634,,11.82999992,"chicago , illinois","chicago , illinois",10.96000004,37711.0,0.3073,61109.18,32000,32300
583,30300,27400,25000,Rock Valley College,"145,609",7824,0.498301795,0.09221902,,,7.789999962,"rockford , illinois","rockford , illinois",10.97999954,13362.0,0.6063,60774.69,27400,30300
584,31600,27900,24700,Madison Media Institute-Rockford Career College,"145,609",11971,0.498296423,0.112857143,,,10.27999973,"rockford , illinois","rockford , illinois",10.88000011,22320.0,0.5735,54545.48,27900,31600
585,45200,40500,36600,Rockford University,"145,609",25000,0.418386492,0.083617747,0.4903,1088.0,6.820000172,"rockford , illinois","rockford , illinois",11.03999996,40569.0,0.5957,64497.21,40500,45200
586,43600,40200,36800,Roosevelt University,"2,693,976",23250,0.368379447,0.048353189,0.6485,1123.0,9.149999619,"chicago , illinois","chicago , illinois",11.10000038,43501.0,0.4375,70632.13,40200,43600
589,53100,48700,44100,University of St Francis,"147,344",23500,0.423780488,0.080779944,0.4678,1129.0,4.800000191,"joliet , illinois","joliet , illinois",11.21000004,40305.0,0.6006,76865.85,48700,53100
591,48200,43900,38100,Saint Xavier University,"2,693,976",24091,0.493877551,0.033450704,0.7395,1061.0,7.510000229,"chicago , illinois","chicago , illinois",11.10000038,40553.0,0.4054,69054.28,43900,48200
592,44600,39200,34800,University of Illinois at Springfield,"114,230",18831,0.362438221,0.146905295,0.5282,1129.0,7.53000021,"springfield , illinois","springfield , illinois",10.93999958,23955.0,0.6509,58971.81,39200,44600
593,26300,24500,23800,Saint Augustine College,"2,693,976",4040,0.683473389,0.265969803,,,15.05000019,"chicago , illinois","chicago , illinois",10.85999966,19146.0,0.0121,53401.34,24500,26300
603,37200,35900,32000,Anderson University,"54,765",27000,0.231651376,0.072747014,0.6502,1094.0,5.400000095,"anderson , indiana","anderson , indiana",11.02999973,42555.0,0.806,64040.72,35900,37200
604,41100,37300,34000,Ball State University,"67,999",23500,0.277217595,0.027154336,0.6478,,5.760000229,"muncie , indiana","muncie , indiana",11.01000023,23783.0,0.7887,62817.43,37300,41100
605,37800,34300,33400,Bethel University,"50,363",25000,0.324512535,0.143042913,0.9233,1086.0,6.340000153,"mishawaka , indiana","mishawaka , indiana",10.98999977,39450.0,0.6712,61051.82,34300,37800
607,41800,40400,37800,University of Evansville,"117,979",26000,0.274590164,0.023106547,0.6948,1203.0,6.389999866,"evansville , indiana","evansville , indiana",10.98999977,48967.0,0.7398,61532.75,40400,41800
609,36500,34400,30800,Purdue University Fort Wayne,"270,402",22803,0.351973684,0.053129346,0.9661,1080.0,5.690000057,"fort wayne , indiana","fort wayne , indiana",11,18073.0,0.7568,61940.3,34400,36500
610,42700,40300,34600,Indiana Institute of Technology,"270,402",27000,0.53301495,0.14540691,0.6318,1013.0,7.260000229,"fort wayne , indiana","fort wayne , indiana",10.97999954,39903.0,0.4829,60972.77,40300,42700
611,37000,34600,30900,University of Southern Indiana,"117,979",21500,0.354708798,0.039342337,0.9458,1094.0,6.75,"evansville , indiana","evansville , indiana",10.93000031,18952.0,0.8595,57279.45,34600,37000
612,39000,35400,31800,Indiana State University,"60,622",23250,0.361903033,0.080895872,0.8991,1019.0,7.659999847,"terre haute , indiana","terre haute , indiana",10.89999962,21619.0,0.6708,56049.16,35400,39000
613,36200,35400,32300,Indiana University-Kokomo,"58,020",19561,0.402624309,0.137003841,0.7999,1047.0,5.789999962,"kokomo , indiana","kokomo , indiana",10.98999977,15444.0,0.8216,60071.06,35400,36200
614,34900,33200,29700,Indiana University-South Bend,"102,026",21500,0.410221619,0.06846473,0.819,1033.0,6.860000134,"south bend , indiana","south bend , indiana",10.96000004,16231.0,0.6924,59249.25,33200,34900
615,47700,43600,39900,Indiana University-Bloomington,"85,755",19500,0.221149372,0.009482374,0.7691,1275.0,5.5,"bloomington , indiana","bloomington , indiana",11.10000038,24326.0,0.6908,70094.49,43600,47700
616,36300,32800,29100,Indiana University-Northwest,"74,879",23124,0.453766075,0.072302558,0.7961,1022.0,8.529999733,"gary , indiana","gary , indiana",10.98999977,13960.0,0.5287,61713.1,32800,36300
617,27300,26900,25000,International Business College-Fort Wayne,"270,402",12000,0.476510067,0.044554455,0.6627,,6.199999809,"fort wayne , indiana","fort wayne , indiana",10.96000004,22956.0,0.8656,58726.19,26900,27300
624,40400,38000,35100,University of Saint Francis-Fort Wayne,"270,402",25250,0.359433962,0.125110914,0.9342,1062.0,5.03000021,"fort wayne , indiana","fort wayne , indiana",11.02999973,37939.0,0.7734,63802.5,38000,40400
627,41900,39000,35200,Briar Cliff University,"82,651",23250,0.364120782,0.133647799,,,6.849999905,"sioux city , iowa","sioux city , iowa",10.89999962,42423.0,0.5978,55366.81,39000,41900
630,41300,39900,37200,Clarke University,"57,882",26995,0.293506494,0.033816425,0.8248,1058.0,6.309999943,"dubuque , iowa","dubuque , iowa",10.93000031,44891.0,0.7442,57836.44,39900,41300
632,34300,32300,29300,Des Moines Area Community College,"67,355",10667,0.368889583,0.106054449,,,6.010000229,"ankeny , iowa","ankeny , iowa",10.96000004,13545.0,0.6947,59440.13,32300,34300
633,58300,50400,46800,Drake University,"214,237",23375,0.153005465,0.026132404,0.6766,1278.0,4.710000038,"des moines , iowa","des moines , iowa",11.11999989,53507.0,0.7703,70375.31,50400,58300
634,39200,37200,34100,University of Dubuque,"57,882",25000,0.361220472,0.074506284,0.7303,998.0,6.840000153,"dubuque , iowa","dubuque , iowa",10.94999981,40660.0,0.6097,58943.3,37200,39200
636,29400,27700,26200,Eastern Iowa Community College District,"101,590",12387,0.44790105,0.130194805,,,7.940000057,"davenport , iowa","davenport , iowa",10.92000008,14402.0,0.6953,56458.3,27700,29400
638,43200,40000,37600,Grand View University,"214,237",24000,0.360204082,0.077281192,0.9198,1060.0,5.570000172,"des moines , iowa","des moines , iowa",11.01000023,37623.0,0.6557,62140.86,40000,43200
640,34000,28800,24500,Hamilton Technical College,"101,590",9500,0.474860335,0.190954774,,,7.659999847,"davenport , iowa","davenport , iowa",10.90999985,23677.0,0.6716,55761.89,28800,34000
641,36100,32900,31200,Hawkeye Community College,"67,328",12213,0.360187553,0.088359585,,,7.150000095,"waterloo , iowa","waterloo , iowa",10.84000015,15049.0,0.7967,51835.93,32900,36100
645,50700,45300,41200,Iowa State University,"66,258",22635,0.199184015,0.016611628,0.906,1219.0,5.449999809,"ames , iowa","ames , iowa",10.97999954,20476.0,0.7492,61269.08,45300,50700
646,33100,31100,27900,Iowa Western Community College,"62,166",12082,0.424749164,0.100791093,,,6.71999979,"council bluffs , iowa","council bluffs , iowa",10.88000011,16466.0,0.5512,54571.92,31100,33100
647,51900,47000,42200,University of Iowa,"75,130",22500,0.223128536,0.033312461,0.8267,1233.0,5.369999886,"iowa city , iowa","iowa city , iowa",11.02000046,22607.0,0.7242,63769.8,47000,51900
648,35800,32600,29500,Kirkwood Community College,"133,562",12000,0.386761488,0.127418594,,,5.440000057,"cedar rapids , iowa","cedar rapids , iowa",10.94999981,14229.0,0.6921,57859.15,32600,35800
650,47000,46800,44300,Mercy College of Health Sciences,"214,237",19500,0.346080306,0.180242634,0.9505,,4.949999809,"des moines , iowa","des moines , iowa",11.02000046,26831.0,0.7873,62864.55,46800,47000
651,43700,39800,37400,Morningside College,"82,651",26625,0.234615385,0.112864078,0.5758,1135.0,6.53000021,"sioux city , iowa","sioux city , iowa",10.89000034,43814.0,0.7347,54990.75,39800,43700
652,45300,44800,42800,Mount Mercy University,"133,562",23016,0.288198758,0.150574713,0.6281,1120.0,4.75,"cedar rapids , iowa","cedar rapids , iowa",11.01000023,44311.0,0.7762,61693.27,44800,45300
653,41200,35900,28500,Ashford University,"1,423,851",32813,0.542900532,0.295889287,,,8.590000153,"san diego , california","san diego , california",10.97999954,23215.0,0.4152,62011.29,35900,41200
657,47300,44000,38800,Saint Ambrose University,"101,590",25000,0.284457478,0.055452865,0.6269,1132.0,6.150000095,"davenport , iowa","davenport , iowa",11.02000046,44319.0,0.7318,63314.56,44000,47300
658,44400,40000,45300,St Luke's College,"82,651",17750,0.36036036,0.15037594,1.0,,6.179999828,"sioux city , iowa","sioux city , iowa",10.89000034,27705.0,0.797,54778.78,40000,44400
665,31500,30400,26900,Western Iowa Tech Community College,"82,651",10999,0.449350649,0.125275695,,,7.199999809,"sioux city , iowa","sioux city , iowa",10.85999966,12489.0,0.5624,53055.62,30400,31500
666,32400,28100,26500,Cowley County Community College,"152,960",8000,0.404193782,0.156702329,,,8,"arkansas city , kansas","kansas city , kansas",10.89000034,13157.0,0.6675,55353.2,28100,32400
667,25400,21800,22500,Donnelly College,"152,960",9000,0.60625,0.142857143,,,14.25,"kansas city , kansas","kansas city , kansas",10.71000004,19425.0,0.1283,46706.81,21800,25400
668,41800,40000,38300,Friends University,"389,938",23250,0.357627119,0.138845554,0.4735,1078.0,7.039999962,"wichita , kansas","wichita , kansas",10.96000004,37845.0,0.619,60343.56,40000,41800
670,36600,33400,29900,Johnson County Community College,"195,494",8063,0.36941119,0.126171279,,,4.539999962,"overland park , kansas","overland park , kansas",11.14999962,16348.0,0.6153,73264.23,33400,36600
672,31200,30400,26900,Kansas City Kansas Community College,"152,960",9500,0.510381458,0.157571099,,,8.81000042,"kansas city , kansas","kansas city , kansas",10.89000034,17263.0,0.412,56103.26,30400,31200
674,48800,44600,39200,University of Kansas,"98,193",21375,0.222240207,0.03902663,0.9171,1250.0,5.239999771,"lawrence , kansas","lawrence , kansas",11.10000038,24996.0,0.7078,70891.42,44600,48800
675,44000,39900,38000,Newman University,"389,938",19976,0.394,0.171171171,0.6182,1143.0,6.949999809,"wichita , kansas","wichita , kansas",10.98999977,36979.0,0.6347,62008.99,39900,44000
677,45600,42100,38400,Kansas State University,"54,604",22093,0.224791377,0.061376011,0.934,,6.269999981,"manhattan , kansas","manhattan , kansas",10.94999981,23724.0,0.7803,59909.03,42100,45600
678,40300,37500,34100,Washburn Institute of Technology,"125,310",18098,0.378103378,0.122120658,0.597,,7.710000038,"topeka , kansas","topeka , kansas",10.85999966,15065.0,0.4192,53955.1,37500,40300
679,39400,40600,39600,Manhattan Area Technical College,"54,604",10000,0.365122616,0.248192771,,,7.760000229,"manhattan , kansas","manhattan , kansas",10.75,17422.0,0.7448,47521.64,40600,39400
681,42900,40000,41700,MidAmerica Nazarene University,"140,545",15625,0.322496749,0.196702002,0.5853,1104.0,5.519999981,"olathe , kansas","olathe , kansas",11.09000015,42197.0,0.6,69737.68,40000,42900
683,40300,37500,34100,Washburn University,"125,310",18098,0.378103378,0.122120658,,,6.650000095,"topeka , kansas","topeka , kansas",10.92000008,18960.0,0.6549,57541.98,37500,40300
684,32900,34500,30600,Wichita State University-Campus of Applied Sciences and Technology,"389,938",6974,0.436554898,0.212682379,,,8.220000267,"wichita , kansas","wichita , kansas",10.89999962,17918.0,0.5532,56522.93,34500,32900
685,40400,38800,36000,Wichita State University,"389,938",21478,0.363389328,0.121191756,0.965,1152.0,6.900000095,"wichita , kansas","wichita , kansas",10.96000004,20038.0,0.6033,60078.99,38800,40400
688,30300,27900,24900,Southcentral Kentucky Community and Technical College,"70,543",9750,0.515169195,0.170020121,,,12.51000023,"bowling green , kentucky","bowling green , kentucky",10.68000031,11468.0,0.8009,44390.6,27900,30300
689,40100,32400,29700,Brescia University,"60,131",29250,0.45210728,0.255574614,0.3855,1118.0,10.21000004,"owensboro , kentucky","owensboro , kentucky",10.81000042,32926.0,0.6275,50402.08,32400,40100
691,34700,32300,28200,Western Kentucky University,"70,543",22928,0.35703728,0.083066117,0.9721,1162.0,10.86999989,"bowling green , kentucky","bowling green , kentucky",10.77999973,20365.0,0.7827,50387.75,32300,34700
695,30700,26900,22800,Bossier Parish Community College,"68,159",15946,0.483113457,0.133908307,,,14.81000042,"bossier city , louisiana","bossier city , louisiana",10.72000027,16004.0,0.4474,46602.93,26900,30700
699,29800,28500,25300,Delgado Community College,"390,144",21000,0.522490843,0.090996862,,,16.15999985,"new orleans , louisiana","new orleans , louisiana",10.75,13994.0,0.2976,48905.7,28500,29800
703,51300,44900,47500,ITI Technical College,"220,236",15891,0.447236181,0.130239521,,,12.60000038,"baton rouge , louisiana","baton rouge , louisiana",10.85999966,23000.0,0.5038,54694.13,44900,51300
706,50100,44800,40200,Louisiana State University and Agricultural & Mechanical College,"220,236",20500,0.266491985,0.019044871,0.7423,1242.0,11.57999992,"baton rouge , louisiana","baton rouge , louisiana",10.89999962,28539.0,0.7067,57504.74,44800,50100
